Drug,Adverse Event,a,b,c,d,PRR,Signal Status,Notes,ROR,Chi-square,Chi-square p (approx),Method Agreement,ML Anomaly,IsolationForest score,Reviewer Priority Score,Cases with severity keywords,hospitalized_mentions,fatal_mentions
HeptraClear,Liver Injury,14,6,5,63,11.76,Potential Safety Signal,PRR = 11.760 is at or above the screening threshold (2.0) with a = 14.,24.696,42.8012,0.0,PRR and ROR both high,Anomalous pair,-0.2341,100.0,12,10,1
Amplitide,Anaphylaxis,4,11,3,70,8.485,Potential Safety Signal,PRR = 8.485 is at or above the screening threshold (2.0) with a = 4.,8.485,16.5231,0.0,PRR and ROR both high,Anomalous pair,-0.1872,95.3,4,4,0
Cardionil,QT Prolongation,6,12,1,69,10.35,Potential Safety Signal,PRR = 10.350 is at or above the screening threshold (2.0) with a = 6.,34.5,30.1145,0.0,PRR and ROR both high,Anomalous pair,-0.1654,97.8,6,5,0
Neuravex,Headache,10,8,8,62,9.688,Potential Safety Signal,PRR = 9.688 is at or above the screening threshold (2.0) with a = 10.,9.625,32.4521,0.0,PRR and ROR both high,Anomalous pair,-0.1543,93.1,0,0,0
Amplitide,Rash,6,9,7,66,7.857,Potential Safety Signal,PRR = 7.857 is at or above the screening threshold (2.0) with a = 6.,7.048,20.3317,0.0,PRR and ROR both high,Anomalous pair,-0.1421,88.6,0,0,0
HeptraClear,Nausea,3,17,8,60,6.618,Potential Safety Signal,PRR = 6.618 is at or above the screening threshold (2.0) with a = 3.,1.324,4.2215,0.0399,Only PRR high,Typical pair,0.0521,62.4,0,0,0
Cardionil,Dizziness,7,11,10,60,7.636,Potential Safety Signal,PRR = 7.636 is at or above the screening threshold (2.0) with a = 7.,3.818,18.1234,0.0,PRR and ROR both high,Typical pair,0.0314,75.2,2,2,0
Neuravex,Dizziness,2,16,10,60,3.0,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.0812,18.3,0,0,0
HeptraClear,Headache,1,19,11,57,2.727,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.0945,12.1,0,0,0
Cardionil,Headache,1,17,11,59,3.179,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1023,10.5,0,0,0
Neuravex,Nausea,2,16,9,61,4.264,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1132,14.7,0,0,0
Amplitide,Nausea,2,13,9,64,4.352,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1245,11.3,0,0,0
Neuravex,Rash,1,17,12,58,2.941,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1356,8.9,0,0,0
Amplitide,Headache,1,14,11,62,3.152,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1489,7.6,0,0,0
Amplitide,Dizziness,1,14,10,63,4.5,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1521,9.2,0,0,0
Cardionil,Nausea,2,16,9,61,4.264,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1634,12.8,0,0,0
Cardionil,Liver Injury,1,17,13,57,2.462,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1712,7.1,0,0,0
